FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
1297	123838955	114.3545882	30.5375643	114.3549822	30.5386286	124.2283843	547	588
1298	123838959	114.3552211	30.5385119	114.3549822	30.5386286	26.32412682	620	588
1299	219727002	114.3504976	30.53864147	114.3504683	30.53862565	3.315625354	186	182
1300	172746558	114.350976	30.5377808	114.3504976	30.53864147	106.1790647	225	186
1301	366939510	114.3570848	30.5386393	114.3577695	30.5384277	70.4195313	806	900
1302	103751589	114.3603275	30.53864881	114.3580757	30.5364733	346.0838072	1042	920
1303	103751599	114.3606194	30.53788063	114.3603275	30.53864881	89.6518174	1060	1042
1304	366939510	114.357034	30.5386625	114.3570848	30.5386393	5.511790738	802	806
1305	219727002	114.3505809	30.5386864	114.3504976	30.53864147	9.415060681	193	186
1306	236801238	114.3509712	30.53797726	114.3505809	30.5386864	87.08543037	224	193
1307	366939510	114.3570018	30.5386772	114.357034	30.5386625	3.493408489	797	802
1308	402874260	114.3567801	30.5381214	114.3570018	30.5386772	71.93444619	760	797
1309	103639119	114.3694643	30.5386706	114.3698397	30.5368475	330.5141951	1302	1308
1310	488587938	114.3694643	30.5386706	114.3712883	30.5374684	222.0421258	1302	1327
1311	358205719	114.3512626	30.5387802	114.3511087	30.53790736	116.8444584	283	243
1312	123838955	114.3549973	30.5387734	114.3544858	30.5375903	141.4794217	590	541
1313	123838955	114.3549822	30.5386286	114.3549973	30.5387734	16.11825118	588	590
1314	103751599	114.3603275	30.53864881	114.3602728	30.5387927	16.79286776	1042	1040
1315	366939510	114.3569323	30.5389106	114.3570018	30.5386772	27.67837199	786	797
1316	366939497	114.3569323	30.5389106	114.3568362	30.5389132	9.226459545	786	770
1317	103642345	114.356522	30.53817	114.356712	30.5389209	85.22045583	743	751
1318	366939498	114.3568362	30.5389132	114.356712	30.5389209	11.9490212	770	751
1319	358205725	114.3543078	30.5377969	114.354651	30.5389412	138.7556135	530	552
1320	84246296	114.354651	30.5389412	114.3549973	30.5387734	38.48473948	552	590
1321	358205729	114.3580268	30.5389448	114.3577695	30.5384277	62.41855342	913	900
1322	358205729	114.3580361	30.5389635	114.3580268	30.5389448	2.25707287	915	913
1323	103639121	114.3580361	30.5389635	114.3582713	30.5383813	68.38767858	915	930
1324	103751589	114.3618523	30.5389634	114.3603275	30.53864881	150.93482	1116	1042
1325	103641066	114.3618523	30.5389634	114.3606194	30.53788063	176.1974022	1116	1060
1326	103641066	114.3691774	30.537434	114.3618523	30.5389634	782.2696866	1298	1116
1327	27619437	114.3551674	30.5390604	114.3549973	30.5387734	35.76049345	613	590
1328	123838954	114.3549973	30.5387734	114.3551674	30.5390604	57.47415635	590	613
1329	358205721	114.3527559	30.5382978	114.3529174	30.539075	87.66875771	375	387
1330	84246296	114.3544757	30.539089	114.354651	30.5389412	23.5036179	538	552
1331	488587938	114.3667843	30.5390863	114.3670579	30.5390794	26.26634216	1240	1249
1332	488587938	114.3670579	30.5390794	114.3676263	30.539085	54.58042402	1249	1259
