FID	L	B
174	114.3503785	30.54496221
175	114.3503385	30.5328713
176	114.3503752	30.5385754
177	114.3503488	30.52816303
178	114.350379	30.5328396
179	114.3504367	30.53860857
180	114.3504501	30.536194
181	114.3504548	30.5362889
182	114.3504683	30.53862565
183	114.3504686	30.5361847
184	114.3504793	30.53623189
185	114.3504872	30.5362667
186	114.3504976	30.53864147
187	114.3505151	30.5364616
188	114.3505325	30.53615244
189	114.3505521	30.53619935
190	114.3505847	30.5439996
191	114.3505596	30.53621708
192	114.3505665	30.5362336
193	114.3505809	30.5386864
194	114.3505854	30.535774
195	114.3506122	30.5432006
196	114.3505962	30.5381878
197	114.3505982	30.5361906
198	114.3506093	30.53621574
199	114.3506133	30.53611162
200	114.3506159	30.536572
201	114.3506389	30.53617233
202	114.35065	30.53619844
203	114.3506501	30.53619872
204	114.3506506	30.53619853
205	114.3506351	30.5292575
206	114.3506458	30.5306854
207	114.3506557	30.5301764
208	114.3507002	30.5360677
209	114.3507035	30.5344114
210	114.3507266	30.53613283
211	114.3507027	30.52790549
212	114.3507384	30.53616186
213	114.35076	30.5362151
214	114.350771	30.5342314
215	114.3507969	30.5406894
216	114.3508153	30.5439927
217	114.3507708	30.52803821
218	114.3508428	30.5404193
219	114.3508213	30.5342758
220	114.3508044	30.5281037
221	114.350829	30.534161
222	114.3509263	30.5410052
223	114.3509281	30.534295
224	114.3509712	30.53797726
225	114.350976	30.5377808
226	114.3509604	30.5281747
227	114.3510093	30.5378874
228	114.3510263	30.5384526
229	114.3510113	30.5340892
230	114.3510482	30.537768
231	114.3510469	30.5300854
232	114.3510572	30.5300485
233	114.3510574	30.5300275
234	114.3510574	30.5300156
235	114.3510575	30.5300072
236	114.3510675	30.530058
237	114.3510675	30.5300275
238	114.3510675	30.5300156
239	114.3510781	30.5306932
240	114.3510768	30.5300758
241	114.3510772	30.5300275
242	114.3510774	30.5300072
243	114.3511087	30.53790736
244	114.3511182	30.5404666
245	114.3510917	30.5330519
246	114.3511298	30.5394421
247	114.3511008	30.5300583
248	114.3511015	30.5300276
249	114.3511018	30.529997
250	114.3511381	30.53777491
251	114.351113	30.5300275
252	114.3511129	30.529997
253	114.3511133	30.5300863
254	114.3511132	30.530058
255	114.3511247	30.5300864
256	114.3511251	30.530058
257	114.3511254	30.5300275
258	114.3511258	30.529997
259	114.3511358	30.5300866
260	114.3511358	30.530058
261	114.3511358	30.5300275
262	114.3511358	30.529997
263	114.3511454	30.5300867
264	114.3511455	30.530058
265	114.3511456	30.5300275
266	114.3511457	30.529997
267	114.3511564	30.5300868
268	114.3511564	30.530058
269	114.3511564	30.5300275
270	114.3511564	30.529997
271	114.3512054	30.5420495
272	114.351167	30.5300279
273	114.3511675	30.529997
274	114.3511679	30.530087
275	114.351168	30.530058
276	114.351177	30.5300282
277	114.3511772	30.530058
278	114.3511742	30.5278351
279	114.3511886	30.5300072
280	114.3512004	30.5300072
281	114.3512125	30.5300774
282	114.3512312	30.5320423
283	114.3512626	30.5387802
284	114.3512419	30.5325089
285	114.351315	30.5420786
286	114.3513239	30.5432848
287	114.3512949	30.5282094
288	114.3513953	30.5436722
289	114.3513683	30.527777
290	114.3513993	30.52785232
291	114.3514226	30.5307032
292	114.3514778	30.5440066
293	114.3514281	30.52792258
294	114.3514668	30.52801673
295	114.351518	30.5281413
296	114.3516312	30.5355917
297	114.3516658	30.5378155
298	114.3516355	30.5276919
299	114.3516977	30.5356979
300	114.3517054	30.5307322
301	114.3517264	30.5351194
302	114.3517214	30.5280777
303	114.3517407	30.5311371
304	114.3517542	30.5346297
305	114.3518004	30.5350518
306	114.351814	30.537668
307	114.3518745	30.5407223
308	114.3518679	30.5349852
309	114.351897	30.5405784
310	114.3518565	30.52757272
311	114.3519103	30.5378343
312	114.3519227	30.5349055
313	114.3519094	30.5277019
314	114.3519407	30.5283481
315	114.3519391	30.5277742
316	114.3519612	30.5278625
317	114.3519854	30.5337477
318	114.3519805	30.5291018
319	114.3519969	30.5278865
320	114.3520873	30.5463048
321	114.3520941	30.5476984
322	114.3520787	30.5432391
323	114.3520628	30.5352166
324	114.3520374	30.5278451
325	114.3520766	30.53536335
326	114.3520917	30.5360881
327	114.3520739	30.5283331
328	114.3521152	30.5346034
329	114.3521241	30.53539642
330	114.3521609	30.5423028
331	114.3522131	30.543587
332	114.3521844	30.5344929
333	114.352168	30.5288079
334	114.3521976	30.53544765
335	114.3521977	30.53530127
336	114.3522194	30.5348246
337	114.352228	30.5346259
338	114.3522339	30.5346629
339	114.3522419	30.53532902
340	114.3522876	30.5450474
341	114.3523172	30.5356033
342	114.3523013	30.5286391
343	114.3523274	30.53538268
344	114.3523535	30.540644
345	114.3523688	30.5440096
346	114.3523743	30.5440699
347	114.3523445	30.5357432
348	114.352339	30.5319215
349	114.3523461	30.5308899
350	114.3523479	30.5306269
351	114.3523685	30.5355667
352	114.3523499	30.5303294
353	114.3523516	30.5300804
354	114.3523546	30.529647
355	114.3523585	30.5290758
356	114.3523799	30.5326872
357	114.3523918	30.5354231
358	114.3524459	30.5418416
359	114.3524412	30.5401039
360	114.3524864	30.5354825
361	114.3526098	30.541565
362	114.3525989	30.53509558
363	114.3526113	30.5365829
364	114.352642	30.5377935
365	114.3526427	30.53522483
366	114.3526506	30.53512808
367	114.3526769	30.5360789
368	114.352706	30.53504065
369	114.3527144	30.5351682
370	114.3527098	30.5337328
371	114.3526918	30.5273318
372	114.3527345	30.53517887
373	114.3527157	30.52746452
374	114.3527383	30.5334376
375	114.3527559	30.5382978
376	114.3527291	30.5275386
377	114.3527587	30.5331102
378	114.3527676	30.53507051
379	114.3527719	30.5319193
380	114.3527888	30.535884
381	114.3527821	30.5328551
382	114.3528153	30.5349684
383	114.3528414	30.5411746
384	114.3528247	30.5349798
385	114.352845	30.53512355
386	114.3528614	30.53502439
387	114.3529174	30.539075
388	114.3528933	30.5306251
389	114.3529026	30.5308903
390	114.3529183	30.53508688
391	114.3529263	30.5361421
392	114.3529107	30.5303337
393	114.3529756	30.5367207
394	114.352996	30.5409101
395	114.3529649	30.5290741
396	114.3529881	30.534853
397	114.3529669	30.5286415
398	114.3530083	30.5319889
399	114.3530205	30.530892
400	114.3530209	30.5308574
401	114.3530234	30.5306266
402	114.3530249	30.5304913
403	114.3530267	30.5303345
404	114.3530285	30.5301732
405	114.3530294	30.5300888
406	114.3530351	30.5275725
407	114.3530922	30.5407492
408	114.3530983	30.5352308
409	114.3530825	30.5296089
410	114.3531434	30.5440241
411	114.3531183	30.5366925
412	114.3531121	30.5348367
413	114.3531541	30.5438629
414	114.3531221	30.5304963
415	114.3531268	30.5301753
416	114.3531562	30.5348309
417	114.3531714	30.53487197
418	114.353199	30.53494637
419	114.3532286	30.5424598
420	114.3531871	30.5301303
421	114.3531871	30.5300898
422	114.3532103	30.5303158
423	114.3532274	30.5350231
424	114.3532822	30.5422819
425	114.3532774	30.533738
426	114.3532776	30.533441
427	114.3532887	30.53474924
428	114.3533123	30.5354281
429	114.3532984	30.5308598
430	114.3532974	30.5303134
431	114.3533015	30.5304242
432	114.353354	30.54200079
433	114.3533309	30.5347232
434	114.3533359	30.53472583
435	114.3533581	30.5362637
436	114.3533346	30.52960413
437	114.3533568	30.535079
438	114.3533595	30.5346399
439	114.35334	30.5290755
440	114.3533605	30.5346073
441	114.3534003	30.53475944
442	114.3533837	30.5296032
443	114.3534254	30.5366517
444	114.3534493	30.5417324
445	114.3534154	30.5290729
446	114.3534429	30.5328553
447	114.353445	30.5331035
448	114.3534575	30.5361829
449	114.3534482	30.5328194
450	114.3534572	30.5350209
451	114.3534705	30.5366043
452	114.3534758	30.5359423
453	114.3534845	30.53480343
454	114.3535054	30.540087
455	114.3535097	30.53463976
456	114.3535179	30.5365546
457	114.353507	30.5287984
458	114.3535228	30.5331534
459	114.3535275	30.5334419
460	114.3535327	30.5348286
461	114.3535106	30.5286365
462	114.3535684	30.541288
463	114.3535853	30.5325022
464	114.3536193	30.5364482
465	114.3536292	30.53464688
466	114.3536429	30.5324508
467	114.3536699	30.5322665
468	114.353691	30.53470008
469	114.3536749	30.5296063
470	114.3537109	30.5359619
471	114.3537093	30.5321943
472	114.3537367	30.5363848
473	114.3537181	30.5295115
474	114.3537373	30.534661
475	114.3537463	30.5359399
476	114.3537387	30.5273684
477	114.3537408	30.5270436
478	114.3537507	30.5294401
479	114.3537524	30.5286351
480	114.3537857	30.530085
481	114.3538275	30.5295214
482	114.3538454	30.5343119
483	114.3538623	30.5343947
484	114.3538788	30.5358508
485	114.3538888	30.5366385
486	114.3538871	30.533443
487	114.3538964	30.5273717
488	114.3539376	30.5379164
489	114.353957	30.5395592
490	114.3539542	30.5321969
491	114.353966	30.5345472
492	114.3539742	30.5365625
493	114.353961	30.5324547
494	114.3539475	30.5286347
495	114.3539511	30.526984
496	114.3539944	30.5362016
497	114.3540057	30.5375056
498	114.3539922	30.5328135
499	114.3539945	30.5330187
500	114.3539873	30.5276683
501	114.3540199	30.5360142
502	114.3539939	30.52709785
503	114.3540204	30.5343318
504	114.3540359	30.5344469
505	114.3540187	30.5290712
506	114.3540252	30.52718085
507	114.3540394	30.530961
508	114.3540395	30.530806
509	114.354044	30.5290711
510	114.3540498	30.5286345
511	114.3540545	30.5280802
512	114.3540577	30.5276412
513	114.3540609	30.52727567
514	114.3540781	30.5273215
515	114.3541505	30.5418722
516	114.3541117	30.5298675
517	114.354127	30.532196
518	114.3541313	30.5312433
519	114.3541326	30.5309622
520	114.3541328	30.530917
521	114.3541333	30.530806
522	114.354135	30.5304435
523	114.3541366	30.5300798
524	114.3542167	30.5411166
525	114.3542027	30.5356379
526	114.3541807	30.5269189
527	114.354247	30.5356066
528	114.3542565	30.5361002
529	114.3542761	30.5413983
530	114.3543078	30.5377969
531	114.3543138	30.5356734
532	114.3543031	30.5286354
533	114.3543525	30.53429119
534	114.3543309	30.5272516
535	114.354342	30.5280734
536	114.354384	30.5370286
537	114.3544494	30.5440744
538	114.3544757	30.539089
539	114.3544386	30.5286355
540	114.3544707	30.53433817
541	114.3544858	30.5375903
542	114.3544802	30.5280767
543	114.354517	30.5336909
544	114.3545105	30.52680722
545	114.3545525	30.5374519
546	114.3545381	30.5334098
547	114.3545882	30.5375643
548	114.3545734	30.52693
549	114.3546315	30.5419522
550	114.3546187	30.5339674
551	114.3546313	30.5360625
552	114.354651	30.5389412
553	114.3546118	30.5270048
554	114.3546469	30.5340408
555	114.3546988	30.5423618
556	114.3547221	30.5451255
557	114.3546947	30.5340513
558	114.3547024	30.532445
559	114.3547027	30.5322006
560	114.3547522	30.544934
561	114.3547223	30.5326586
562	114.3547239	30.5328203
563	114.3547258	30.5330227
564	114.3547266	30.5331036
565	114.3547659	30.5373873
566	114.3547782	30.5365759
567	114.3547852	30.533988
568	114.3547979	30.5369404
569	114.354818	30.541981
570	114.3548439	30.5478985
571	114.3548106	30.5367215
572	114.3548187	30.5373998
573	114.3548454	30.5441058
574	114.3548561	30.5342453
575	114.3548632	30.53420158
576	114.3549239	30.547749
577	114.354876	30.5341222
578	114.3548897	30.5366719
579	114.3548841	30.5340832
580	114.3548863	30.53407264
581	114.354907	30.5339736
582	114.3549077	30.5339459
583	114.3549528	30.5339319
584	114.3549626	30.5340249
585	114.3549761	30.5373786
586	114.3549641	30.53404572
587	114.3549649	30.53405562
588	114.3549822	30.5386286
589	114.3549757	30.53416241
590	114.3549973	30.5387734
591	114.3550085	30.5371648
592	114.3550139	30.5342979
593	114.3550478	30.5343161
594	114.355048	30.5322019
595	114.3550505	30.5314888
596	114.3550513	30.5312659
597	114.3550514	30.531237
598	114.3550525	30.5309248
599	114.3550538	30.5305573
600	114.3550555	30.5300664
601	114.3550581	30.5289294
602	114.3550591	30.5290683
603	114.3550586	30.5287104
604	114.3550597	30.5286307
605	114.3550631	30.5282624
606	114.3550648	30.5280728
607	114.3551328	30.5458064
608	114.3551363	30.5464217
609	114.355069	30.5276222
610	114.3551257	30.532202
611	114.3551393	30.5342593
612	114.3551195	30.5269601
613	114.3551674	30.5390604
614	114.3551483	30.5312656
615	114.3551519	30.5314853
616	114.355166	30.5343632
617	114.3551738	30.5346944
618	114.3551807	30.5337851
619	114.3551965	30.53396532
620	114.3552211	30.5385119
621	114.355254	30.5449883
622	114.3552332	30.5391325
623	114.3552163	30.53396969
624	114.3552421	30.5300652
625	114.3552853	30.5348716
626	114.3553202	30.5384158
627	114.3553302	30.5339308
628	114.3553269	30.5326476
629	114.3553438	30.5350627
630	114.3553484	30.53391278
631	114.3553643	30.5332437
632	114.3553671	30.533105
633	114.3553899	30.5371493
634	114.3554686	30.545011
635	114.3554365	30.5348427
636	114.3554928	30.5411967
637	114.3555015	30.5371958
638	114.3555537	30.5379829
639	114.3555633	30.53383843
640	114.3556135	30.5441585
641	114.3555982	30.5338392
642	114.3556167	30.5374685
643	114.3556238	30.531967
644	114.3556326	30.533239
645	114.355633	30.5330975
646	114.3556134	30.5270397
647	114.3556695	30.5412549
648	114.3557097	30.5383362
649	114.3557493	30.5451265
650	114.3557564	30.54504307
651	114.3557588	30.5450144
652	114.3556996	30.5286284
653	114.3557282	30.5360404
654	114.3556975	30.52646484
655	114.3557066	30.5282528
656	114.355723	30.530922
657	114.3557249	30.5312637
658	114.3557968	30.5441739
659	114.3557334	30.52653076
660	114.3557895	30.5379854
661	114.3557546	30.5267314
662	114.3557608	30.5265809
663	114.355776	30.5272775
664	114.3558019	30.5333882
665	114.3558067	30.53387315
666	114.3558305	30.5379459
667	114.3558541	30.5380444
668	114.3558714	30.5381213
669	114.3558999	30.545868
670	114.3558794	30.5376235
671	114.3558994	30.537985
672	114.3559155	30.5411397
673	114.3559361	30.5433493
674	114.3559415	30.5403038
675	114.355938	30.5364987
676	114.355956	30.5375994
677	114.3559854	30.5450686
678	114.355979	30.5365013
679	114.3559851	30.5370677
680	114.356015	30.5408456
681	114.3559993	30.536162
682	114.3559954	30.53380748
683	114.3560101	30.5370977
684	114.3560225	30.5364461
685	114.3560354	30.5395935
686	114.356065	30.5463336
687	114.3560302	30.5322098
688	114.3560706	30.5364358
689	114.3560832	30.5391977
690	114.356128	30.5465273
691	114.3560984	30.5382566
692	114.356089	30.5339544
693	114.35609	30.5331056
694	114.3561474	30.5419843
695	114.3562149	30.5462728
696	114.3561875	30.5376476
697	114.3561612	30.5302267
698	114.3561727	30.5298133
699	114.3562086	30.5378552
700	114.3562104	30.5375994
701	114.3561971	30.53363457
702	114.3562811	30.5463596
703	114.3562474	30.5371152
704	114.3562347	30.5336061
705	114.3562553	30.5360993
706	114.3562457	30.5316455
707	114.3562456	30.5312621
708	114.3562296	30.52631136
709	114.3562838	30.5403493
710	114.3563082	30.5451064
711	114.3562842	30.5378865
712	114.3563115	30.5450759
713	114.3562863	30.5372648
714	114.3563419	30.5454957
715	114.3563562	30.5474362
716	114.3563043	30.5322059
717	114.3563069	30.5316455
718	114.3563082	30.5313827
719	114.3563088	30.5312618
720	114.3563104	30.5309239
721	114.3563136	30.5302291
722	114.3563156	30.5298133
723	114.3563179	30.5289196
724	114.3563191	30.5290648
725	114.3563192	30.5286332
726	114.3563199	30.5287046
727	114.3563192	30.5282461
728	114.3563192	30.5280814
729	114.3563193	30.5276065
730	114.3563913	30.5455522
731	114.3563635	30.5338653
732	114.356405	30.5450829
733	114.3563668	30.5335604
734	114.3563719	30.5321676
735	114.3564138	30.5397159
736	114.3564424	30.5472326
737	114.3564476	30.5455146
738	114.356435	30.5410846
739	114.35641	30.53356182
740	114.3564889	30.544317
741	114.356467	30.5379587
742	114.3564963	30.5406408
743	114.356522	30.53817
744	114.3565511	30.5442163
745	114.3565298	30.5371409
746	114.3565845	30.5437624
747	114.3566066	30.5434617
748	114.3566007	30.5262043
749	114.3566319	30.5273689
750	114.356708	30.5473968
751	114.356712	30.5389209
752	114.3567536	30.5459113
753	114.3566825	30.5264123
754	114.3567123	30.53345853
755	114.3567222	30.53343746
756	114.3567161	30.5309278
757	114.3567776	30.5472628
758	114.3567757	30.5412625
759	114.3568028	30.5451644
760	114.3567801	30.5381214
761	114.3568085	30.5451013
762	114.3568136	30.5455458
763	114.3567715	30.5326176
764	114.3567673	30.5313904
765	114.3567745	30.5330347
766	114.356775	30.5322029
767	114.3568131	30.5414911
768	114.3567797	30.5287512
769	114.356848	30.5457574
770	114.3568362	30.5389132
771	114.356864	30.5459494
772	114.3568689	30.54592194
773	114.3568713	30.5456378
774	114.3568319	30.5348246
775	114.3568744	30.5458916
776	114.3568808	30.5458564
777	114.3568371	30.5311656
778	114.356897	30.5457656
779	114.3568639	30.531392
780	114.3569174	30.5454728
781	114.3569172	30.5450444
782	114.3569223	30.5450195
783	114.3569105	30.5399615
784	114.3569394	30.5451804
785	114.3569461	30.5457755
786	114.3569323	30.5389106
787	114.3569536	30.5442348
788	114.3569666	30.5456488
789	114.3569485	30.5393644
790	114.3569366	30.5358914
791	114.3569764	30.5444669
792	114.3569627	30.53335422
793	114.3570041	30.5443657
794	114.3570102	30.5442854
795	114.356981	30.5336819
796	114.3570265	30.5455772
797	114.3570018	30.5386772
798	114.3569933	30.5333625
799	114.3570372	30.5451919
800	114.3570411	30.5451607
801	114.357021	30.5366423
802	114.357034	30.5386625
803	114.3570642	30.5442399
804	114.357065	30.5394188
805	114.357091	30.5410546
806	114.3570848	30.5386393
807	114.3570705	30.5337659
808	114.3571042	30.5406932
809	114.3570769	30.5313853
810	114.3570769	30.5311683
811	114.3570833	30.5315468
812	114.3571187	30.5402942
813	114.3571126	30.53341732
814	114.3571509	30.5413335
815	114.3571296	30.5313826
816	114.3571399	30.5331615
817	114.3572104	30.5419657
818	114.3572149	30.5364824
819	114.3572306	30.5391699
820	114.3572493	30.5424772
821	114.3572698	30.5465968
822	114.3572315	30.5345884
823	114.3572582	30.5414721
824	114.3572813	30.54596
825	114.3572475	30.5347266
826	114.3572502	30.5315422
827	114.3572506	30.5314894
828	114.3572525	30.5312226
829	114.3572529	30.5311703
830	114.3572697	30.533362
831	114.3573071	30.5435381
832	114.3572969	30.53325873
833	114.3572999	30.53323755
834	114.3572849	30.5290621
835	114.3573026	30.5332184
836	114.3573538	30.5449521
837	114.35736	30.5451992
838	114.3573227	30.5348541
839	114.3573174	30.5309335
840	114.3573249	30.5320587
841	114.3573842	30.54495327
842	114.3574005	30.5437835
843	114.3574181	30.5459726
844	114.3574162	30.5449545
845	114.3573747	30.5330795
846	114.3574209	30.5452368
847	114.3573596	30.5280782
848	114.3573701	30.5291464
849	114.3574335	30.5456277
850	114.3574418	30.5443917
851	114.3574204	30.5329086
852	114.3574521	30.5350733
853	114.3574437	30.5309689
854	114.3574672	30.5317837
855	114.3574805	30.53317507
856	114.3574774	30.530935
857	114.3574898	30.53319284
858	114.3575037	30.5335143
859	114.3575213	30.5330774
860	114.3575302	30.53327027
861	114.3575318	30.5330901
862	114.3575371	30.5330965
863	114.3575485	30.53315155
864	114.3575526	30.53317138
865	114.3575286	30.5258531
866	114.3575693	30.5330591
867	114.3575701	30.53325624
868	114.3575735	30.5330764
869	114.3575737	30.53307736
870	114.357576	30.533496
871	114.3575761	30.53348944
872	114.3575768	30.53348933
873	114.3575767	30.53344045
874	114.3575805	30.53345757
875	114.3575877	30.53339565
876	114.3575879	30.53313792
877	114.3575901	30.533353
878	114.3575918	30.533361
879	114.3575925	30.53315774
880	114.3575952	30.5330921
881	114.3576032	30.5330684
882	114.3576048	30.53313205
883	114.357608	30.5336165
884	114.3576096	30.5331519
885	114.3576344	30.5394451
886	114.357612	30.53324149
887	114.3576606	30.544259
888	114.3576296	30.53323528
889	114.3576794	30.5460349
890	114.3576366	30.5333469
891	114.3576794	30.5436471
892	114.3576459	30.5333753
893	114.357682	30.5395272
894	114.3577182	30.54567
895	114.3576747	30.5333323
896	114.3576888	30.5338671
897	114.3577496	30.5425681
898	114.3577287	30.5354631
899	114.3577765	30.5452785
900	114.3577695	30.5384277
901	114.3577839	30.5394117
902	114.3578143	30.5422125
903	114.3577712	30.5288907
904	114.3577971	30.5341364
905	114.3578676	30.5357326
906	114.3578858	30.5343572
907	114.3579093	30.5344004
908	114.3579587	30.5391253
909	114.357949	30.5363027
910	114.3579392	30.527149
911	114.3580315	30.545412
912	114.3580492	30.54531048
913	114.3580268	30.5389448
914	114.3580561	30.5452706
915	114.3580361	30.5389635
916	114.3579993	30.52685646
917	114.3580286	30.5346195
918	114.3580082	30.5285194
919	114.3580403	30.5366999
920	114.3580757	30.5364733
921	114.35806	30.5301987
922	114.3581287	30.5358121
923	114.358111	30.5307115
924	114.3581377	30.5348112
925	114.3581633	30.5357172
926	114.3582077	30.5393239
927	114.3582412	30.5442566
928	114.3582586	30.5470487
929	114.3582993	30.5464955
930	114.3582713	30.5383813
931	114.3583238	30.5459016
932	114.3583301	30.5460048
933	114.3583342	30.5467097
934	114.3583318	30.5460334
935	114.3583562	30.5454802
936	114.3583193	30.5350861
937	114.3583682	30.5453479
938	114.3583768	30.5452754
939	114.3583578	30.5351445
940	114.3584085	30.5450074
941	114.3584426	30.5446728
942	114.3584345	30.5408722
943	114.3584792	30.5443138
944	114.3584854	30.5442525
945	114.358451	30.5328372
946	114.3584951	30.5441191
947	114.3584894	30.5329326
948	114.358526	30.5427326
949	114.3585585	30.5353598
950	114.3585956	30.5434913
951	114.3586092	30.5423475
952	114.3586795	30.5453079
953	114.3587566	30.5446913
954	114.3587524	30.5393381
955	114.3588146	30.5443417
956	114.3588269	30.5417684
957	114.3588203	30.5382889
958	114.3588039	30.52857157
959	114.3589187	30.5410849
960	114.3589646	30.5364297
961	114.3589823	30.5385462
962	114.3589854	30.5348055
963	114.3590467	30.5462693
964	114.3590749	30.545934
965	114.3590687	30.5434795
966	114.359039	30.5334147
967	114.3590358	30.5308072
968	114.3590671	30.5334962
969	114.3591362	30.5406979
970	114.3591174	30.5336416
971	114.3591508	30.5337384
972	114.3591559	30.5325027
973	114.3591939	30.5351124
974	114.3592652	30.5450913
975	114.3592938	30.5448901
976	114.3592525	30.5327845
977	114.3592679	30.5339564
978	114.3593215	30.5423239
979	114.359326	30.5338674
980	114.3593467	30.5316367
981	114.3593877	30.5412909
982	114.3593892	30.5406098
983	114.3593812	30.5324311
984	114.3593984	30.5341679
985	114.3594002	30.53248513
986	114.3594062	30.53250204
987	114.3594439	30.5418915
988	114.3594175	30.53253408
989	114.3594396	30.53259687
990	114.3594468	30.53261724
991	114.3595164	30.5440692
992	114.3594805	30.5327129
993	114.3595395	30.5323017
994	114.3595915	30.5436133
995	114.3596032	30.5409041
996	114.3595876	30.5344746
997	114.3595844	30.5327225
998	114.3595873	30.5324367
999	114.3596205	30.5325322
1000	114.3596367	30.5324192
1001	114.3596522	30.53245386
1002	114.3596709	30.5326528
1003	114.3596771	30.5325093
1004	114.3597324	30.5439837
1005	114.3597462	30.5457665
1006	114.3597628	30.5453722
1007	114.3597738	30.5453027
1008	114.3597838	30.5451421
1009	114.3597467	30.5326702
1010	114.3597974	30.5449422
